file,severity,score,tier,flags
cve-2021-21985-5574.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2021-25281-5810.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2021-30461-6054.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
cve-2021-3129-6078.yaml,critical,60,3-acceptable,cve_tagged_missing_cve_id
APACHE-Ambari-weakPass.yaml,critical,65,3-acceptable,
Anni-fileDownload.yaml,critical,65,3-acceptable,active_probe_path
Auth.yaml,critical,65,3-acceptable,active_probe_path
Digital-Signage-rce.yaml,critical,65,3-acceptable,
GT-AC2900-login.yaml,critical,65,3-acceptable,
cve-2018-1273-3269.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2018-16763-3400.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2019-16278-3919.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2019-7256-4216.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2020-14882-4573.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2020-15568-4621.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2020-17496-4672.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2020-8515-5328.yaml,critical,65,3-acceptable,cve_tagged_missing_cve_id|has_regex_matcher
cve-2021-25646-5818.yaml,critical,65,3-acceptable,
cve-2022-1388-6650.yaml,critical,65,3-acceptable,
earcms-upload.yaml,critical,65,3-acceptable,
export-job-portal-management-system-sql-injection.yaml,critical,65,3-acceptable,active_probe_path
ioffice-oa-rce.yaml,critical,65,3-acceptable,
ioffice-oa-sqli.yaml,critical,65,3-acceptable,
react2shell.yaml,critical,65,3-acceptable,
shiziyu-cms-upload.yaml,critical,65,3-acceptable,
showdoc-file-upload-rce-10226.yaml,critical,65,3-acceptable,
springboot-heapdump-v2.yaml,critical,65,3-acceptable,active_probe_path
unauth-message-read-10944.yaml,critical,65,3-acceptable,
wangkang-NGFW-rce.yaml,critical,65,3-acceptable,
wangyu-ssl-vpn.yaml,critical,65,3-acceptable,
wso2-ssrf.yaml,critical,65,3-acceptable,
123contactform-for-wordpress-0b1619884e220c574ca164cfe0032c46.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
